Code_INSEE,latitude,longitude,pop,code_dep
54353,49.09678462,5.884678405,901,54
71015,46.9410623,4.417346564,901,71
2B093,42.61713803,8.901652271,901,2B
18066,46.97387114,2.185166829,901,18
2A215,41.50462583,9.048991458,901,2A
38328,45.25688377,5.730457161,901,38
46138,44.64843258,1.580288823,900,46
69113,45.97189116,4.52615652,900,69
26143,45.26255067,5.102247956,900,26
2195,49.36748684,3.467782991,900,2
80205,50.00366921,2.021152715,900,80
48075,44.3984529,3.531462906,900,48
57426,49.27393083,6.296367803,900,57
25256,47.20031356,6.776681138,900,25
37188,47.08248358,0.54699029,900,37
72220,48.23950231,0.50348277,899,72
40234,43.98757834,-0.350021938,899,40
11098,43.18476541,2.715727552,899,11
81249,44.08888532,2.196090811,899,81
16337,45.96878181,0.700155864,899,16
11437,43.23297883,2.230318854,899,11
80008,50.0367633,1.609982936,899,80
21521,47.30738399,5.231405234,899,21
22030,48.70623653,-3.367914092,899,22
73224,45.34942913,6.315489867,899,73
